Politician Name,Speech Title,Speech URL,Speech Text,Party
Scott Benton,2024 Resignation Statement,https://www.ukpol.co.uk/scott-benton-2024-resignation-statement/,"The statement made by Scott Benton, the Independent MP for South Blackpool, on 25 March 2024.It’s been the honour of a lifetime to represent our wonderful community in Parliament over the last four years.It’s with a heavy heart that I have written to the Chancellor this morning to tender my resignation as your MP. I’d like to thank the hundreds of residents who have sent supportive messages, cards and letters over the last few months and who have urged me to continue and fight the next election. The support that so many local people have given to me has made it all worthwhile.A Labour government would be catastrophic for our country. I’m mindful of giving a new candidate the time and space to campaign to prevent that from happening and it is for this reason that I have made this decision at this time.As your MP I have always sought to do what I believed to be in the best interests of Blackpool, and of our country. Over the last four years we’ve faced significant challenges with Covid and the cost of living. Despite the economic challenges these have created, our community has benefited through over £400 million in additional government funding and capital investment – the highest amount of any town in the entire country. Most of these projects (including planned regeneration in Revoe, Central Drive & Bond Street; the new multiversity; Blackpool Central Development; and many other Levelling Up projects) have yet to commence but we will reap the rewards of these in terms of regeneration, new jobs and opportunities in the years ahead. Our A&E, schools and Police have also benefited from significant extra funding too and I’m proud of the role that I’ve been able to play in delivering that. Blackpool is a special place and it’s future is bright.The most enjoyable part of the job has been being able to meet so many of you, either on the doorstep, or at the over 650 different charities, voluntary groups, sports clubs, churches and businesses I have visited. I will always cherish being able to contribute towards, and to see, the brilliant work which goes on, often by unsung heroes, in our community. I’ve held over 220 surgeries and events and my team and I have assisted over 19,500 local people with different issues and problems, having much success, but sadly some failures, along the way too. Being able to help those who have needed it most has been a privilege and my team and I will continue to work on all existing casework for those who have previously contacted me in this interim period.The global events of the past four years would have been extremely challenging for any government to deal with. The optimism and hope felt by many after we delivered Brexit in early 2020 was quickly overtaken by the pandemic and the challenges Covid has led to in terms of the economy and public services have proven incredibly difficult since. The government hasn’t got everything right and I’ve always been robust in speaking out for what I think our community and country needs in Parliament, having spoken on more than 350 occasions – one of the highest of all MPs since 2019. It’s easy for opposition politicians to criticise from the sidelines when they haven’t got any policies or a plan of their own. It’s a lot harder delivering for people when there are no easy solutions to many of the complex problems we face.In 2019, I pledged to be an active, hardworking and relatable MP who would listen to your concerns and views and act upon them: I’d like to think that I have more than succeeded in that aim. It’s in the best interests of our community that my successor succeeds and I wish them well.With best wishesScott",Other
Rishi Sunak,2024 Speech on Extremism,https://www.ukpol.co.uk/rishi-sunak-2024-speech-on-extremism/,"The speech made by Rishi Sunak, the Prime Minister, outside Number 10 on 1 March 2024.In recent weeks and months, we have seen a shocking increase in extremist disruption and criminality.What started as protests on our streets, has descended into intimidation, threats, and planned acts of violence.Jewish children fearful to wear their school uniform lest it reveal their identity.Muslim women abused in the street for the actions of a terrorist group they have no connection with.Now our democracy itself is a target.Council meetings and local events have been stormed.MPs do not feel safe in their homes.Long standing Parliamentary conventions have been upended because of safety concerns.I need to speak to you all this evening because this situation has gone on long enough……and demands a response not just from government, but from all of us.Britain is a patriotic, liberal, democratic society with a proud past and a bright future.We are a reasonable country and a decent people.Our story is one of progress, of great achievements and enduring values.Immigrants who have come here have integrated and contributed.They have helped write the latest chapter in our island story.They have done this without being required to give up their identity.You can be a practising Hindu and a proud Briton as I am.Or a devout Muslim and a patriotic citizen as so many are.Or a committed Jewish person and the heart of your local community……and all underpinned by the tolerance of our established, Christian church.We are a country where we love our neighbours.And we are building Britain together.But I fear that our great achievement……in building the world’s most successful multi-ethnic, multi faith democracy……is being deliberately undermined.There are forces here at home trying to tear us apart.Since October 7th there have been those trying to take advantage of the very human angst that we all feel……about the terrible suffering that war brings to the innocent, to women and children……to advance a divisive, hateful ideological agenda.On too many occasions recently, our streets have been hijacked by small groups……who are hostile to our values and have no respect for our democratic traditions.Membership of our society is contingent on some simple things……that you abide by the rule of law, and that change can only come through the peaceful, democratic process.Threats of violence and intimidation are alien to our way of doing things: they must be resisted at all times.Nearly everyone in Britain supports these basic values but there are small and vocal hostile groups who do not.Islamist extremists and the far right feed off and embolden each other.They are equally desperate to pretend that their violence is somehow justified……when actually these groups are two sides of the same extremist coin.Neither group accept that change in our country can only come through the peaceful democratic process.Both loathe the pluralist, modern country we are.Both want to set Briton against Briton……to weaponise the evils of anti-Semitism and anti-Muslim hatred for their own ends.The faith of Islam, peacefully practised by millions of our fellow citizens……is emphatically not the same thing as the extremist political ideology of Islamism……which aims to separate Muslims from the rest of society.Islamist extremists and far rights groups are spreading a poison, that poison is extremism.It aims to drain us of our confidence in ourselves as a people, and in our shared future.They want us to doubt ourselves, to doubt each other, to doubt our country’s history and achievements.They want us to accept a moral equivalence between Britain and some of the most despicable regimes in the world.They want us to believe that our country, and the West more generally, is solely responsible for the world’s ills……and that we, along with our allies, are the problem.In short, they want to destroy our confidence and hope.We must not allow that to happen.When these groups claim that Britain is and has been on the wrong side of history, we should reject it, and reject it again.No country is perfect, but I am enormously proud of the good that our country has done.Our place in history is defined by the sacrifices our people have made,…in the service of our own freedom and that of others.And when these groups tell children that they cannot – and will not – succeed because of who they are…When they tell children that the system is rigged against them or that Britain is a racist country…This is not only a lie, but a cynical attempt to crush young dreams, and turn impressionistic minds against their own society.I stand here as our country’s first non-white Prime Minister, leading the most diverse government in our country’s history……to tell people of all races, all faiths and all backgrounds……it is not the colour of your skin, the God you believe in or where you were born, that will determine your success……but just your own hard work and endeavour.We must be prepared to stand up for our shared values in all circumstances, no matter how difficult.And I respect that the police have a tough job in policing the protests we have seen and that they are operationally independent.But we must draw a line.Yes, you can march and protest with passion…You can demand the protection of civilian life……but no, you cannot call for violent Jihad.There is no “context” in which it can be acceptable to beam antisemitic tropes onto Big Ben in the middle of a vote on Israel/Gaza.And there can be no cause you can use to justify the support of a proscribed terrorist group, like Hamas.Yes, you can freely criticise the actions of this government, or indeed any government: that is a fundamental democratic right.But no, you cannot use that as an excuse to call for the eradication of a State – or any kind of hatred or antisemitism.This week I have met with senior police officers and made clear it is the public’s expectation……that they will not merely manage these protests, but police them.And I say this to the police, we will back you when you take action.But if we are asking more of the police, we in government must also back up that call with action.To that end, this month the government will implement a new robust framework for how it deals with this issue.To ensure that we are dealing with the root causes of this problem……and that no extremist organisations or individuals are being lent legitimacy……by their actions and interactions with central government.You cannot be part of our civic life if your agenda is to tear it down.We will redouble our support for the Prevent programme to stop young minds being poisoned by extremism.We will demand that universities stop extremist activity on campus.We will also act to prevent people entering this country whose aim is to undermine its values.The Home Secretary has instructed that if those here on visas……choose to spew hate on protests or seek to intimidate people……we will remove their right to be here.And our Britain must not be a country in which we descend into polarised camps……with some communities living parallel lives.It is not enough to live side-by-side, we must live together……united by shared values and a shared commitment to this country.And I want to speak directly to those who choose to continue to protest:Don’t let the extremists hijack your marches.You have a chance in the coming weeks to show that you can protest decently, peacefully and with empathy for your fellow citizens.Let us prove these extremists wrong and show them that even when we disagree……we will never be disunited from our common values of decency and respect.I love this country.My family and I owe it so much.The time has now come for us all to stand together to combat the forces of division and beat this poison.We must face down the extremists who would tear us apart……there must be leadership, not pandering or appeasement.When they tell their lies, we will tell the truth.When they try and sap our confidence, we will redouble our efforts.And when they try and make us doubt each other……we will dig deeper for that extra ounce of compassion and empathy……that they want us to believe doesn’t exist, but that I know does.If we can do that, we can build on our great achievement in creating today’s Britain……a country of kind, decent, tolerant people.We can make this a country in which we all feel a renewed sense of pride.This is our home.So let us go forward together, confident in our values and confident in our future.",Conservative
Michael Gove,2024 Speech at the Convention of the North,https://www.ukpol.co.uk/michael-gove-2024-speech-at-the-convention-of-the-north/,"The speech made by Michael Gove, the Levelling Up Secretary, on 1 March 2024.Today is the day the North truly takes back control. Today, at this Convention, we inaugurate the biggest transfer of power and resources to the North in living memory. We all know that power is best exercised by those closest to the people they represent. We all know that the divisions in our society – economic, social, educational – are best bridged by empowering local leaders and local communities to determine the futures of the places where they live and the towns and cities that they love. And that is why today – at this Convention of the North – together – we are bringing about a power surge for the North.We have already agreed deals – agreed, not imposed or dictated – agreed deals with the mayors of the West Midlands and Greater Manchester to give them greater power over skills, transport and housing so the opportunity to get on, access to the best jobs and a safe, warm, decent home of your own are within reach of many more.And today we’re extending these same opportunities to West Yorkshire, South Yorkshire and the Liverpool City Region. In technical terms that means Level 4 Devolution. In real terms it means more money and a bigger capacity to make a difference for Tracy Brabin, Oliver Coppard and Steve Rotheram.Yes, I know Tracy, Oliver and Steve are Labour politicians. And in a few months’ time we’ll be arguing passionately about different visions for the country as a whole. But – much more importantly to me, Tracy, Oliver and Steve are directly accountable local politicians with a mandate and a mission and a responsibility to deliver economic growth and improved opportunities for people in Leeds, Bradford, Wakefield, Castleford, Huddersfield, Dewsbury, Sheffield, Rotherham, Barnsley, Doncaster, Liverpool, Knowsley, Runcorn, Southport and the Wirral.And what’s important to me, and I know to them, is delivering for people in those cities and towns. Giving local politicians more power – with greater accountability – so local people can enjoy better jobs, higher wages, quicker journeys to work, more opportunities to learn, more attractive homes and an enhanced environment around them.The theology is devolution, the reality is improved lives for all.And I am also today clear we want to take forward devolution to many more areas across the country. With the North leading the way. I’ll be continuing to support the extended North East Mayoral Combined Authority grow from strength to strength. And I know the Chancellor will be saying more on how we support the north east in days to come. And I want to conclude a Level 4 deal with the great Ben Houchen – the one-man Northern Powerhouse who has done so much to bring investment and hope to the Tees Valley.And as well as the Level 3 deal we have with York and North Yorkshire we are also now implementing Level 3 deals with Hull and East Yorkshire, and also with Greater Lincolnshire. There are further Level 3 deals moving forward in Norfolk and Suffolk and, of course, a Level 3 deal has been secured for the East Midlands, and a Level 2 deal for Lancashire. We will also shortly be announcing more Level 2 devolution deals covering other parts of England.So we now have 19 devolution deals either established or in implementation covering over 33 million people. This is the most profound change to the way England has been governed in generations, it is a vote of confidence in local democracy and, in particular, a vote of confidence in Northern leadership. We  together are levelling up the North by giving power to its people.But that is very far from all we are doing together to demonstrate our commitment to the North of England and our shared determination to level up.We are working in partnership with civic leaders to irrigate the soil for the private sector investment which is vital for the enduring economic growth the North needs – which we all need.Here in Leeds, we are working with the council and the mayoral combined authority to lever in investment for new housing and new enterprises in Mabgate, the Innovation Arc, in Holbeck, West End Riverside, Eastside and Hunslet Riverside and on of course on the iconic Southbank. We’re working closely with the Royal Armouries here and working to secure and bring into public ownership a site for British Library North at Temple Works. I was also excited recently to meet with the Poet Laureate, Yorkshire’s own Simon Armitage, to hear his fantastic plans  for the UK’s only National Poetry Centre to be situated here in Leeds. I and my department will be doing everything we can to support that endeavour. And we’re also working to ensure that the existing strengths of the universities in Leeds, the life sciences sector, financial services sector, the tech sector and of course the cultural jewels of Opera North, Leeds Art Gallery and Channel Four can all be reinforced.And today I can go further.  I am delighted to be able to announce  that we have agreed with West Yorkshire the final plans for their new Investment Zone, focused in particular on health tech.  , It will direct £50m of additional investment to accelerate capital projects here in Leeds, and in Bradford and Huddersfield. And a further £25m of the funding will be used to give local people the skills they need to take advantage of over 7000 new high-quality jobs being created in the region all because of the Investment Zone.And to ensure that the Leeds Renaissance can benefit the greatest number of people in West Yorkshire – and beyond – we’re also investing two and a half billion pounds in a mass transit system which will link Leeds with Bradford, Halifax, Huddersfield and Wakefield. The heart of West Yorkshire will be stronger and the arteries which connect Leeds to these proud towns will be enhanced – I don’t believe any  Government for decades has shown this level of commitment to Leeds, to West Yorkshire, to Yorkshire and indeed the North as a whole – and it is central to our shared moral mission to make opportunity more equal for everyone.Because Levelling Up – at its heart – is about public and private investment, partnership between central and local government, empowering local people to determine their own future and using all the resources of communities which have been overlooked and undervalued in the past – their educational, cultural, and entrepreneurial talents to shape economic growth and to deliver greater social justice.And that is why in our Levelling Up White Paper we set the direction for future central government spending in areas such as tech and culture – the two of the principal motors of growth in the decades ahead. And we are committed therefore to increasing spending on research and development – from both public and private sectors – faster outside the golden triangle of the South East and in the North .We are increasing Arts Council spending in the coming years outside of London and the South East and in the North And the Network North transport spending, which was announced earlier this week, sees millions more committed to improving transport links within and between the communities of the North and Midlands.Re-directing spending is crucial to Levelling Up – but so is making sure those resources are in the hands of the communities that they’re intended to benefit. That’s why Network North funding goes to councils, why Arts Council spending will support grassroots cultural organisations in the North, and enhanced R&D spend will be delivered through the North’s great universities.And we also know that across the North different communities have very specific needs which we can only effectively support by working in partnership with people on the ground to identify obstacles and opportunities.So, for example, in Liverpool, we know that the immense potential of the city and the wider region has been held back by an insufficiently coherent approach towards urban regeneration. There are iconic new investments and of course handsome historic buildings, but they sit alongside stalled sites and areas of untapped potential. That is why the vision set out in the Liverpool Strategic Futures Advisory Panel report is so important and we will back it with £31 million of new money  I can announce today for regeneration projects which trace an arc from the Knowledge Quarter to Bramley Moore docks on the waterfront.In Sheffield we know that city’s proud industrial heritage – augmented of course by the innovation we see at South Yorkshire’s Advanced Manufacturing Centre – also requires additional investment to reap benefits in the future. That’s why we’re investing £67 million to create over 1,330 new homes and 4,000 square metres of commercial space in the heart of the city. That’s on top of the £12 million we’re already invested through the Brownfield Housing Fund. And by working with Sheffield council and Oliver Coppard we hope to unlock a further half a billion pounds of private sector investment.We’re also investing more in Blackpool – a great town which has had to adjust to the changing nature of the visitor economy and has been held back by historically terribly poor housing – so we’re devoting another £90 million to transform some of the most deprived parts of the town centre to power Blackpool’s revivalI’m also committed personally to ramping up our support in Barrow – where the commitment that we have with British Aerospace to develop and build the next generation of nuclear submarines will generate thousands of new highly-skilled, high-paying jobs for decades to come – but with those jobs must come new housing, improved transport links for Barrow and even better educational institutions, and that’s a mission to which my Department is committed.In each of these communities – with diverse needs but all optimistic about the future – we’ve worked together to identify where the additional investment that we’re committing to the North can make the biggest difference.And that’s the philosophy driving our Levelling Up Partnerships – new initiatives from my department which lead to  deep relationships between the department and local leaders in Blackpool, Blyth, Grimsby, Middlesbrough, Redcar and Cleveland and now, most recently in Blackburn. Together we identify the barriers to growth, and thendeliver bespoke investments which build on the community’s existing strengths. So in Blackburn our announcement today means £8 million for the arts and community venue King George’s Hall, £1.5 million to redevelop the Cotton Exchange and £1.5 million to revive Tony’s Empress Ballroom – one of the very few original Northern Soul dancefloors in the country. Sadly, I won’t be Out on The Floor for any forthcoming all nighters but as Levelling Up funding goes, do I love it? –  indeed I do.The principles governing our Levelling Up Partnerships – and indeed the 4.8 billion pounds worth of investment delivered though the Levelling Up Fund – are also behind our Long Term Plan for Towns. We know that for towns to succeed our great cities need to grow, but we also know that it’s the specific needs of towns, their individual strengths, their particular challenges, that need to be addressed if they are to benefit from the growth that our cities are powering. So that we know that in the towns around Manchester, Leeds, Liverpool, Sheffield and Newcastle and other great cities some, towns are doing better than others, some are better connected than others, some have higher productivity than others, but all have potential.In the 55 towns we’ve identified for investment, we’re making £20 million per town available – and we’re ensuring it’s a locally-constituted, grassroots-led town board which will draw up the bespoke plan for how that investment meets specific local needs. So in the Yorkshire towns with which we are currently working – Barnsley, Castleford, Dewsbury, Doncaster, Keighley, Rotherham and Scarborough – it will be local people who will be empowered and  local priorities which will be supported. Under the leadership of my friend Adam Hawksbee – who is committed to driving down power and opportunities much closer to these intimate communities – we will be building on  the success of this programme in weeks to come.I want to end on a personal note.And I want to end soon because the last time I spoke at this Convention I had so much to say about Levelling Up that Evan Davies had to cut me off. And I can see Clive eyeing his watch carefully.The reason why I am so committed to Levelling Up is because I came into politics to tackle inequality, to give a stronger voice to those who’d been cut out of the elite conversation, to uphold the principle that everyone is of equal worth and no one should be held back because of their background, their birthplace or their beliefs.Tackling entrenched inequalities, overcoming historic injustices, giving space and opportunities to those who’ve been overlooked and undervalued, it takes time – it requires money, yes, but it also requires us to reach across old political divides, to see the other person’s perspective, and to trust in the spirit of public service that animates so many of those who enter public life.In the election months ahead there’ll be arguments, of course, about priorities, policies and people. But at a time when the risks of division and polarisation are heightened I want us all here at the Convention of the North to recall and celebrate what he have in common – to feel optimistic and proud about every community in our country and resolved to ensure that we make the pursuit of greater opportunity for all a fight in which we are all in this room on the same side.",Conservative
Oliver Dowden,2024 Speech on AI for Public Good,https://www.ukpol.co.uk/oliver-dowden-2024-speech-on-ai-for-public-good/,"The speech made by Oliver Dowden, the Deputy Prime Minister, at Imperial College on London on 29 February 2024.INTRODUCTIONLadies and gentlemen…The story of technological advancement is one of constant evolution…… punctuated by game-changing innovations.In my lifetime, the personal computer, the internet, the smart phone, have all made the tech world – and our interaction with it – unrecognisable.And they have all – in turn – transformed the way that citizens interact with government, and with public services.I believe another such game-changer has arrived…… in the form of transformative AI models – including Large Language Models – that enable computers and humans to interact in totally new ways.The last fourteen years has been a period of incremental tech improvements.The digital interfaces we use are largely recognisable.Yes – we have seized new opportunities…… such as rolling out gov.uk…… and making our services “digital by default”.But many of the systems that we use have not kept up with advances…… indeed some of them, I’m afraid to say, have not moved on at all.Modern AI has the potential to fundamentally change the way that public services operate within just a few short years.Indeed, if we are still working off the same systems – and in the same way – in another 14 years… or even frankly another two or three……then we will have failed to embrace the opportunity that now lies before us.OPPORTUNITYAnd so, just as the UK is leading the world in the field of AI safety…… the Prime Minister has asked me to ensure we are leading the world in the adoption of AI across our public sector.The opportunity here is hard to put a value on…… although I notice the IPPR have estimated that there is the potential to save £24 billion each year from roll-out of these new technologies.So for me it’s only by the rapid adoption of AI that we will drive the savings needed to put us on a sustainable path to a smaller state and better delivery of services.The pace of change is such that new opportunities are being uncovered literally on a daily basis, and a new world is opening out before us…AI is potentially – and I don’t say this lightly – a ‘silver bullet’…… it dangles before us the prospect of increased productivity, vast efficiency savings, and improved services.We are already beginning to see glimpses of what these tools have to offer…… and so I’d like to paint a brief picture of what the world might look like if we get this right:VISION OF SUCCESSIn healthcare – AI diagnostic tools could transform primary care……with appointments transcribed in real time by ambient AI, then instantly producing prescriptions and referrals……  scans read by AI with far greater accuracy …… and medicines tailored to individuals based on their genetics – again using AI.In education – … AI could help eliminate excessive paperwork ……freeing-up teacher time to focus on what they do best……AI assistants could help teachers to adapt lessons to the specific needs of each pupil…… and AI-augmented reality can take interactive learning to another level.In crime prevention – AI can direct police to where they are most needed…… spot patterns of criminality to discover culprits quicker than ever……and help keep the streets safer for everyone.And in all kinds of public sector casework – from immigration processing to benefit claims – AI can be used to summarise complex information…… enabling expert case-workers to spend more time actually making decisions.I could go on nearly forever to cover all areas of public administration…… because there are very few areas of the public sector that don’t have the potential to be enhanced by these tools.HOW DO WE GET THERE?The question, though, is how do we get there?I believe the measures we are bringing forward put in the structures, resources, and mindset…… to put the UK on the fastest path to successful adoption of public sector AI.Taking advantage of our unique strengths…… to revolutionise public services for everyone in the months and years ahead.Last year, I established a small team of data scientists, engineers and machine learning experts at the heart of Government – the Incubator for AI – or ‘i.AI’ – under the energetic leadership of Dr Laura Gilbert.The idea of these experts was to work with departments to target the biggest opportunities to both save money and deliver better public services.The quality of applicants for this program has been phenomenal.It is incredibly exciting to see such talented technical people choosing to enter public service…… bringing in new ideas to help change the way government delivers services.In a few short months this team of just 30 individuals have instigated 10 pilot programs, including…AI to flag fraud and error in pharmacies – that costs the taxpayer £1 billion every single year.A tool that will read and summarise responses to Government consultations, this says something about the scale of Government consultations, but this could save up to £80 million a year in central government alone…And AI algorithms to help move asylum claimants out of hotels more efficiently… helping to save further millions.And I can also announce our intention to roll out a new gov.uk chatbot that will provide an interactive interface for people to better navigate Government information and services.But this is clearly just the very start……I want to ensure that – where these pilots have proof of concept – we can scale them up as fast as possible…i.AI scale-up…And so, I can announce today that we will more than double the size of i.AI – to 70 people – recruiting the very best of British talent to drive this work across the public sector.This unprecedented influx of cutting-edge expertise into Government will enable us to design, build and – crucially – implement AI swiftly and at scale…Of course, there is still a huge role for the private sector – and I welcome the collaboration that we have with so many of the businesses in this room today.Nothing will match the strength and depth of the private sector AI innovation that is happening right now – and as all of you know so much of it here in the UK.But I believe that by embedding experts at the heart of Government…… and upskilling public servants to utilise these tools……we will set ourselves up to deliver the benefits to citizens as quickly – and as efficiently – as possible.HORIZONTALSThe other reason it is so important to have this team at the centre of Government is to ensure that – as AI rolls-out across the public sector – we adhere to the following principles:… sharing best practice……deploying individual models to multiple use-cases…… finding economies of scale..… and, crucially, ensuring interoperability.Although I don’t claim for the moment to have the expertise needed to actually build AI models…… I can see that – like so many great inventions – there is something beautifully simple about what they are actually doing.Indeed, when you boil it down, I think there are four ways AI can be applied to much of public sector activity…… spotting patterns of fraud and error;… helping the public to navigate services;… managing casework;… and automating internal processes.And so the i.AI team have been looking across these applications with those principles in mind…… And I have agreed with the Treasury that we will make all funding for Government AI projects contingent on departments collaborating with i.AI.Never again should we be investing money in IT systems without considering how to make them as efficient and interoperable as possible…… or without robustly challenging both the timelines and the costs to deliver better value.I want to ensure that where we develop a tool for one department – we are considering where else it could be deployed.MINISTERIAL FORUMAnd do to facilitate this discussion……to ensure departments are fully integrated into this cross-government effort…… we need a regular dialogue between all those involved across government.And so I am convening a meeting of the National Science and Technology Council on AI for public sector good …… alongside my Co-Chair, Michelle Donelan – our fantastic Secretary of State for Science and Technology.Every department has now designated a specific minister to be responsible for AI in their area…… and I have asked for them to meet on a regular basis.In the Cabinet Office, this work will be led by Minister Burghart…… and I want to thank him for the passion, purpose and drive that he has brought to the programme so far, as is often the case when you run a department you get to stand up and make the announcements, but actually Minister Burghart who has actually done the work to bring Government together to do this.WIDER PUBLIC SECTOR JOIN-UPOf course, central Government can only take this work so far…To truly maximise the benefits on offer we need to work with bodies and agencies right across the public sector.And so I am delighted to announce today that i.AI will sign a ‘Collaboration Charter’ with NHS England.This first-of-a-kind initiative will provide a framework for our experts in the incubator to support the NHS to identify and deploy AI solutions that improve services for patients.And I would urge other public sector bodies to consider doing exactly the same thing, I think it can bring enormous benefitsRESOURCINGThere is no shortage in the Government’s ambition to use AI for public good.We have put the expertise and the structures in place…… and we are making progress on our early pilot projects……but we also appreciate the investment that will be needed to make good on our ambition to see the UK leading the pack.And crucially, investment will be required both to improve services and cut costs…But also to pave the way for a leaner public sector.MITIGATING RISKThrough all of this, we are conscious of the need to guard against the risks that have rightly been flagged.And, while every effort will be made to eliminate bias, misinformation, and hallucinations…… ultimately, we are very clear about the need for human oversight…… and a clear distinction between AI suggestions and support on the one hand……and human decision making on the other.CONCLUSIONI believe we can take the worst things about public services……whether that’s the time-wasting, form-filling, pencil-pushing, computer-says-no, the mind-numbing-ness of it…… and the kinds of things that make us want to tear our hair out…We can take those things and we can turn them around with the help of AI.This is not about replacing real people with robots……it is about removing spirit-sapping, time-wasting admin and bureaucracy……freeing public servants to do the important work that they do best…… and saving taxpayers billions of pounds in the process.We’ve got the political will. We’ve got the world-class civil service. We have the big data. We have the tech companies.We are ready.So let’s not wait.Let’s lead the way……and join me in the AI revolution today.",Conservative
Stuart Andrew,2024 Speech at the Beacon Philanthropy and Impact Forum,https://www.ukpol.co.uk/stuart-andrew-2024-speech-at-the-beacon-philanthropy-and-impact-forum/,"The speech made by Stuart Andrew, the Gambling Minister, at Guildhall Yard in London on 29 February 2024.Thank you for the introduction, Cath, and good morning everyone.It’s a pleasure to be speaking with you, on this extra day of the year.It seems apt to mention that today is also the final day of Payroll Giving MonthAnd I would encourage us all to consider this fantastic, tax-efficient way of donating to charity directly from your pay or pension.Giving is in the DNA of this countryAnd the UK is rightly acknowledged as a world leader in philanthropy.We know we are one of the most generous countries in the world – the record £12.7 billion given by the public in 2022 is a phenomenal amount.We know we have a proud tradition of philanthropy, but there is nonetheless plenty of room for growth.As the Minister for Civil Society, I am acutely aware of how central giving is to our communities and charities across the country.It’s something I also saw first-hand from my early career in the charitable sector.It’s not just across civil society that I have seen the transformative role that philanthropy plays.Philanthropy is integral to everything we do in DCMS.In sport, fundraising has been fundamental in delivering programmes which seek to deliver social outcomes through participation in sport and physical activity.In arts and heritage, philanthropy sustains our most beloved institutions – our museums, heritage sites, and performing arts venues.Our partnership with the Wolfson Foundation has played a major role here.As has our work with Arts Council England to support arts and cultural organisations to develop their fundraising skills and capacity to attract more private investment.The Cultural Gifts and Acceptance In Lieu scheme, meanwhile, has meant treasures such as Tolkien’s manuscripts in Oxford.Or the archives of children’s author Judith Kerr in Newcastle.Have permanent homes and are made accessible to the public.I know philanthropy is not just of critical interest to DCMS.Multiple departments are recognising the value of private capital for the public sector.The Office for Investment, a joint unit between No.10 and the Department for Business and Trade, has created a new concierge service for high value transformational philanthropic capital.Its objective is to increase giving from international donors, in the same manner that it does with inward investment.The lead official, Heather Davenport, is here today so please do speak with her to discuss this important topic.Spearheaded by the Secretary of State, DCMS is taking the lead role in coordinating efforts across Whitehall to foster a better operating environment for philanthropy in the UK.The Secretary of State spoke on this recently at an event I know many of you were able to attend, for the launch of the Onward report.She spoke about how we are committed to helping more people give and helping people give more.I want to reiterate the three core areas that she mentioned that we can accelerate across Government.Firstly, we want to better enable philanthropy and ensure the UK continues to be a good place to give.This includes helping people understand how they can give.We are working with the Financial Conduct Authority, wealth management firms and the Treasury to explore the possibility of providing greater philanthropy training for financial advisors.There is already some innovation in this space, with CFA Society UK recently launching their Certificate in Impact Investing.This provides investment professionals with the information they need to advise their clients on how their capital can have greater social and environmental impact.Alongside this, my officials are collaborating with HMRC to consider how the tax environment affects philanthropy, and are engaging with them on their potential work to digitalise Gift Aid.Complementing this work, we are continuing to support the growth and development of the social impact investing market, which delivers benefits to society alongside financial returns.We’re working with large scale investors, such as pension funds, to achieve the change we are looking for.We are also focused on unlocking the huge potential of Community Development Finance Institutions (CDFIs).These regional lenders provide affordable loans in the UK’s most disadvantaged places.Steps like these can make a huge difference for setting in place the right infrastructure across the country for both philanthropy and impact investing.Secondly, we want to encourage more philanthropy, particularly at a regional level.One example is West London Zone, a social outcomes partnership where philanthropic money is blended with national and local spend that only pays when measurable outcomes are achieved.Partly funded by DCMS, it has made a significant difference to children and young people’s life chances.Yet we know that philanthropy is still primarily concentrated in London and the south.So we want to explore how similar models could potentially be developed around the country that can maximise social impact.Can better reach marginalised communities, and can involve people of all backgrounds.The sharing of expertise is central to encouraging people to donate.Peer influence also makes a huge difference – one-third of wealthy donors report donating after being encouraged by friends or family.So we want to help bring together established philanthropists, and high net worth individuals, with the next wave of budding donorsWho are socially conscious and want to make an impact.People like Sir Lewis Hamilton, who has given £20 million to create his charity Mission 44And empower young people from underserved communities and diverse backgrounds.This leads me onto our third area of focus, of fully recognising how philanthropy transforms lives and communities.We’re seeing how alive and kicking philanthropy is in Stoke-on-Trent, for exampleWhere philanthropists of all levels of giving are making a difference.From Denise Coates, who has donated millions towards projects in the city, including £10 million to University Hospitals of North Midlands during the pandemicTo 23-year-old Matthew Bridger, who created his own foundation to provide grants for Stoke charities helping vulnerable people.Matthew was recognised earlier this year through the Prime Minister’s daily Points of Light awardWhich recognises the exceptional service people give to their communities.We want to celebrate more people who give through awards like these, especially through the Honours systemAnd I encourage you all to nominate worthy candidates.We also want to champion campaigns and events that highlight the impact of giving.So we want to help lead this conversation.But the Government cannot, and should not, drive this alone.To enable philanthropy, there are key evidence gaps we still need to understand.We need high net worth individuals and impact investors to play an active role.We need to be hearing from those making a difference with their giving, for us to amplify their voices.And so we also want to learn from you and listen.Today’s forum provides a perfect opportunity for this.As the name suggests, Beacon has been shining a light for many years now on the potential for philanthropists to unlock many of the challenges we face todaybringing together those with a shared social purpose, and the means to drive investment towards the places that need this most.I know there will be many rich conversations over the course of todayBecause there is a real buzz around philanthropy right nowAnd, as you have said, Cath, a real sense of hope, in what we can achieve togetherThere is an opportunity to capitalise on the kindness of the British public and help make their gifts go furtherTo help our charities and communities stay resilient and sustainableTo allow our world-leading sport, creative and cultural sectors to continue to flourishSo with that in mind, thank you again for inviting me to speak to you.I wish you a very successful day ahead and I look forward to continuing to work closely with the philanthropy sector to help it grow to its full potential.",Conservative
